CODIGO_DA_IES,NOME_DA_IES,SIGLA,CATEGORIA_DA_IES,COMUNITARIA,CONFESSIONAL,FILANTROPICA,ORGANIZACAO_ACADEMICA,CODIGO_MUNICIPIO_IBGE,MUNICIPIO,UF,SITUACAO_IES
36,FACULDADE DE TECNOLOGIA RUBENS LARA,FATEC-BS,Pública,N,N,N,Faculdade,3548500,Santos,SP,Ativa
23261,Faculdade São Judas de São Bernardo do Campo,,Privada,N,N,N,Faculdade,3548708,São Bernardo do Campo,SP,Ativa
22627,Faculdade Abrange ABC,FABRANGE,Privada,N,N,N,Faculdade,3548708,São Bernardo do Campo,SP,Ativa
1478,FACULDADE ANHANGUERA DE SÃO BERNARDO,null,Privada,N,N,N,Faculdade,3548708,São Bernardo do Campo,SP,Ativa
1878,CENTRO UNIVERSITÁRIO DA FUNDAÇÃO EDUCACIONAL INACIANA PE SABÓIA DE MEDEIROS,FEI,Privada,S,N,N,Centro Universitário,3548708,São Bernardo do Campo,SP,Ativa
1286,Faculdade de Tecnologia Senai Mario Amato,SENAI,Privada,N,N,N,Faculdade,3548708,São Bernardo do Campo,SP,Ativa
58,FACULDADE DE DIREITO DE SÃO BERNARDO DO CAMPO,FDSBC,Pública,N,N,N,Faculdade,3548708,São Bernardo do Campo,SP,Ativa
2131,FACULDADE DE SÃO BERNARDO DO CAMPO,FAPAN,Privada,N,N,N,Faculdade,3548708,São Bernardo do Campo,SP,Ativa
23242,Escola Superior São Judas de São Bernardo do Campo,,Privada,N,N,N,Faculdade,3548708,São Bernardo do Campo,SP,Ativa
167,UNIVERSIDADE METODISTA DE SÃO PAULO,UMESP,Privada,S,N,N,Universidade,3548708,São Bernardo do Campo,SP,Ativa
231,FACULDADE DE SÃO BERNARDO DO CAMPO - FASB,FASB I,Privada,N,N,N,Faculdade,3548708,São Bernardo do Campo,SP,Ativa
3308,FACULDADE ENGENHEIRO SALVADOR ARENA,FESA,Privada,N,N,N,Faculdade,3548708,São Bernardo do Campo,SP,Ativa
23241,Instituto Universitário São Judas de São Bernardo do Campo,,Privada,N,N,N,Faculdade,3548708,São Bernardo do Campo,SP,Ativa
22311,FACULDADE NOVE DE JULHO DE SÃO BERNARDO DO CAMPO,NOVE-SBC,Privada,N,N,N,Faculdade,3548708,São Bernardo do Campo,SP,Ativa
5099,FACULDADE DE TECNOLOGIA DE SÃO BERNARDO DO CAMPO,FATEC-SB,Pública,N,N,N,Faculdade,3548708,São Bernardo do Campo,SP,Ativa
361,Faculdade Paulista de Serviço Social de São Caetano do Sul,FAPSS,Privada,N,N,N,Faculdade,3548807,São Caetano do Sul,SP,Ativa
605,UNIVERSIDADE MUNICIPAL DE SÃO CAETANO DO SUL,USCS,Pública,N,N,N,Universidade,3548807,São Caetano do Sul,SP,Ativa
1972,Faculdade de São Caetano do Sul,null,Privada,N,N,N,Faculdade,3548807,São Caetano do Sul,SP,Ativa
1445,CENTRO UNIVERSITÁRIO DO INSTITUTO MAUÁ DE TECNOLOGIA,CEUN-IMT,Privada,N,N,N,Centro Universitário,3548807,São Caetano do Sul,SP,Ativa
15745,Faculdade de Tecnologia de São Caetano do Sul,FATEC SCS,Pública,N,N,N,Faculdade,3548807,São Caetano do Sul,SP,Ativa
1195,FACULDADE SENAI DE TECNOLOGIA MECATRÔNICA,SENAI,Privada,N,N,N,Faculdade,3548807,São Caetano do Sul,SP,Ativa
707,CENTRO UNIVERSITÁRIO CENTRAL PAULISTA,UNICEP,Privada,N,N,N,Centro Universitário,3548906,São Carlos,SP,Ativa
17745,Faculdade de São Carlos,FASC,Privada,N,N,N,Faculdade,3548906,São Carlos,SP,Ativa
7,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,Pública,N,N,N,Universidade,3548906,São Carlos,SP,Ativa
19500,Faculdade de Tecnologia de São Carlos,FATEC São Carlo,Pública,N,N,N,Faculdade,3548906,São Carlos,SP,Ativa
4820,FACULDADE DE TECNOLOGIA SENAI ANTÔNIO ADOLPHO LOBBE,null,Privada,N,N,N,Faculdade,3548906,São Carlos,SP,Ativa
1836,CENTRO UNIVERSITÁRIO FUNDAÇÃO DE ENSINO OCTÁVIO BASTOS - FEOB,UNIFEOB,Privada,S,N,N,Centro Universitário,3549102,São João da Boa Vista,SP,Ativa
217,CENTRO UNIVERSITÁRIO DAS FACULDADES ASSOCIADAS DE ENSINO - FAE,UNIFAE,Pública,N,N,N,Centro Universitário,3549102,São João da Boa Vista,SP,Ativa
22175,Faculdade  São Joaquim da Barra,,Privada,N,N,N,Faculdade,3549409,São Joaquim da Barra,SP,Ativa
